id,customerId,driverId,rideStatus,rideType,pickupPoint,pickupLat,pickupLong,dropPoint,dropLat,dropLong,initialDistance,initialDuration,finalDistance,finalDuration,payWithNuraCoins,appliedVoucherId,appliedCouponId,rideAssignedLat,rideAssignedLong,initialFare,finalFare,payableAmount,rideStartTime,rideEndTime,rideAssignedTime,initialOdometer,finalOdometer,createdAt,updatedAt,schoolRideBookingId
110,40,,PENDING,RIDE,"AP 725, H block,1st St, 12th Main Rd, Anna Nagar, Anna Nagar West, Anna Nagar, Chennai, Tamil Nadu 600040, India",13.0854513,80.2029467,"Balaji Street, Balaji St, SVP Nagar, Janakiraman Colony, Arumbakkam, Chennai, Tamil Nadu 600106, India",13.0761768,80.2053427,3.635,544,0,0,f,,,,,99,,,,,,,,03-10-2025,07:30:16,03-10-2025
113,43,,PENDING,RIDE,"113, 4th St, CTO Colony, West Tambaram, Tambaram, Chennai, Tamil Nadu 600129, India",12.9503944,80.1780355,"Koyambedu CMBT Bus Stand, Koyambedu, Chennai, Tamil Nadu 600107, India",13.0686902,80.2051416,20.093,2435,0,0,f,,,,,407,,,,,,,,03-10-2025,08:58:19,03-10-2025
114,43,,PENDING,RIDE,"Lakshmi Mahal, Vijayalakshmi Nagar, Abhinandan Nagar, Ullagaram, Chennai, Tamil Nadu 600129, India",12.9402811,80.1738399,"Meenambakkam, Chennai - Theni Hwy, National Airports Authority Colony, Meenambakkam, Nandanvakkam, Chennai, Tamil Nadu 600114, India",12.987735,80.1764,11.595,1463,0,0,f,,,,,237,,,,,,,,03-10-2025,08:59:30,03-10-2025
125,46,,PENDING,RIDE,"8M8P+G3G, Thindal, Erode, Tamil Nadu 638012, India",11.3162142,77.6850249,"Erode Railway Station, 8PHG+F7H, Chennimalai Rd, Railway Colony, Erode, Tamil Nadu 638002, India",11.3286902,77.7257365,7.231,1050,0,0,f,,,,,173,,,,,,,,03-10-2025,11:37:44,03-10-2025
126,47,,PENDING,RIDE,"35A, 3rd Indira St, Kanu Nagar, Nesapakkam, Chennai, Tamil Nadu 600078, India",13.0288862,80.1913652,"Kolapakkam, Kolapakkam, Chennai, Tamil Nadu, India",13.010112,80.1492317,6.31,1129,0,0,f,,,,,184,,,,,,,,03-10-2025,13:43:18,03-10-2025
128,49,,PENDING,RIDE,"DABC Aishwaryam - Phase II, 4th Main Rd, Nolambur, Ambattur Industrial Estate, Chennai, Tamil Nadu 600095, India",13.07481432,80.16593435,"Metrozone Q Tower, Metrozone Q Tower, METROZONE TOWERS, Thirumangalam, Anna Nagar West Extension, Chennai, Tamil Nadu 600040, India",13.0830732,80.1950026,5.79,1204,0,0,f,,,,,152,,,,,,,,03-10-2025,15:45:42,03-10-2025
129,50,,PENDING,RIDE,"368W+H2F, College Rd, Subba Road Avenue, Nungambakkam, Chennai, Tamil Nadu 600006, India",13.06636658,80.24506384,"ST COURIER - ROYAPETTAH, GROUND FLOOR, Modern Tower, 23, Westcott Rd, Royapettah, Chennai, Tamil Nadu 600014, India",13.0540257,80.2643757,3.811,604,0,0,f,,,,,99,,,,,,,,03-10-2025,15:47:04,03-10-2025
144,50,,PENDING,RIDE,"125/209, Peter's Rd, Royapettah, Chennai, Tamil Nadu 600014, India",13.05384575,80.26462512,"CHENNAI SENIOR SECONDARY SCHOOL, Europe, 47/21, College Rd, Thousand Lights West, Thousand Lights, Chennai, Tamil Nadu 600006, India",13.0675501,80.2488258,4.18,606,0,0,f,,,,,125,,,,,,,,04-10-2025,12:37:08,04-10-2025
131,49,,PENDING,RIDE,"DABC Aishwaryam - Phase II, 4th Main Rd, Nolambur, Ambattur Industrial Estate, Chennai, Tamil Nadu 600095, India",13.07481649,80.16594864,"Guindy, Guindy, Chennai, Tamil Nadu, India",13.0066625,80.2206369,17.165,2713,0,0,f,,,,,349,,,,,,,,03-10-2025,15:49:05,03-10-2025
132,51,,PENDING,RIDE,"The Metrozone, Anna Nagar West, Anna Nagar West Extension, Chennai, Tamil Nadu 600040, India",13.0835176,80.1941814,"Aayakar Bhawan (Income Tax office), Chennai, 121, Nungambakkam High Rd, Thousand Lights West, Thousand Lights, Chennai, Tamil Nadu 600034, India",13.0571576,80.2489964,9.546,1660,0,0,f,,,,,213,,,,,,,,04-10-2025,02:51:41,04-10-2025
133,32,,PENDING,RIDE,"1/ 197d, Periyar St, Anna Enclave, Injambakkam, Chennai, Tamil Nadu 600115, India",12.9184946,80.2488266,"Tambaram Railway Station - East Entrance, W4F9+PQ3, E Tambaram Railway Station Rd, Railway Colony, East Tambaram, Tambaram, Kamarajar Salai, Chennai, Tamil Nadu 600045, India",12.9242613,80.1194286,22.436,3079,0,0,f,,,,,454,,,,,,,,04-10-2025,03:39:41,04-10-2025
135,50,,PENDING,RIDE,"37, College Rd, Subba Road Avenue, Nungambakkam, Chennai, Tamil Nadu 600006, India",13.06648831,80.24505125,"ST COURIER - ROYAPETTAH, GROUND FLOOR, Modern Tower, 23, Westcott Rd, Royapettah, Chennai, Tamil Nadu 600014, India",13.0540257,80.2643757,3.81,604,0,0,f,,,,,99,,,,,,,,04-10-2025,04:55:11,04-10-2025
136,32,,PENDING,RIDE,"51/24, SM Nagar, Vivekanandapuram, West Mambalam, Chennai, Tamil Nadu 600033, India",13.0391431,80.2180653,"Haven Sampoorna, 97, 3rd Ave, Block Q, Anna Nagar, Chennai, Tamil Nadu 600040, India",13.0908782,80.217969,7.355,1456,0,0,f,,,,,173,,,,,,,,04-10-2025,05:47:42,04-10-2025
141,54,,PENDING,RIDE,"55XP+M45, Ashok St, Balaji Nagar, Bhavani Nagar, Red Hills, Chennai, Padianallur, Tamil Nadu 600052, India",13.1990989,80.1852918,"VR Chennai, Jawaharlal Nehru Salai, Thirumangalam, Anna Nagar, Chennai, Tamil Nadu 600040, India",13.0805465,80.197132,18.429,2313,0,0,f,,,,,374,,,,,,,,04-10-2025,11:50:01,04-10-2025
142,54,,PENDING,RIDE,"55XP+M45, Ashok St, Balaji Nagar, Bhavani Nagar, Red Hills, Chennai, Padianallur, Tamil Nadu 600052, India",13.1991202,80.1852781,"VEL TECH RANGA SANKU ARTS COLLEGE, 42 VelTech-Avadi Road, Avadi, Chennai, Tamil Nadu 600062, India",13.1899118,80.1025591,12.696,1459,0,0,f,,,,,259,,,,,,,,04-10-2025,11:50:52,04-10-2025
143,50,,PENDING,RIDE,"no.72, old no, 37/A, Periya Malayappan St, Balaji Nagar, Royapettah, Chennai, Tamil Nadu 600014, India",13.05360162,80.26455383,"Taras Home, 37, G K Shetty Building, College Rd, Subba Road Avenue, Nungambakkam, Chennai, Tamil Nadu 600006, India",13.0666727,80.245062,6.069,969,0,0,f,,,,,184,,,,,,,,04-10-2025,12:36:49,04-10-2025
145,55,,PENDING,RIDE,"19, Periyar Nagar, Mannurpet, Korattur, Chennai, Tamil Nadu 600050, India",13.0999273,80.1752704,"Flowers Road, Flowers Rd, Chetpet, Chennai, Tamil Nadu 600010, India",13.0801713,80.2500589,9.795,1558,0,0,f,,,,,213,,,,,,,,04-10-2025,14:44:09,04-10-2025
146,55,,PENDING,RIDE,"19, 19, Periyar Nagar, Tiny Sector, Sidco Industrial Estate, Ambattur, Chennai, Tamil Nadu 600050, India",13.1004327,80.1770987,"Villivakkam, Villivakkam, Chennai, Tamil Nadu, India",13.10863,80.2060781,4.056,842,0,0,f,,,,,125,,,,,,,,04-10-2025,14:44:37,04-10-2025
148,58,,PENDING,RIDE,"Rc Adena, B-S1, Nethaji Street, Kamalam Nagar, Thirumullaivoyal, Chennai, Tamil Nadu 600062, India",13.14238525,80.13589785,"K D M AND CO LLP Chartered Accountants, No.15/16, MN Plaza, Fourth Floor, 3rd Cross St, opposite to Kushals Jewellery, Old Narasingapuram, Kasturba Nagar, Adyar, Chennai, Tamil Nadu 600020, India",13.003852,80.251622,28.831,4297,0,0,f,,,,,582,,,,,,,,05-10-2025,05:29:14,05-10-2025
149,58,,PENDING,RIDE,"Rc Adena May Flower, Rc Adena, Tirumallaivayal Colony, Chennai, Tamil Nadu 600062, India",13.14233631,80.13584296,"K D M AND CO LLP Chartered Accountants, No.15/16, MN Plaza, Fourth Floor, 3rd Cross St, opposite to Kushals Jewellery, Old Narasingapuram, Kasturba Nagar, Adyar, Chennai, Tamil Nadu 600020, India",13.003852,80.251622,28.838,4300,0,0,f,,,,,582,,,,,,,,05-10-2025,05:29:47,05-10-2025
150,59,,PENDING,RIDE,"P Tower 402, METROZONE TOWERS, near VR, Thirumangalam, Anna Nagar West Extension, Chennai, Tamil Nadu 600040, India",13.082868,80.1950619,"Thirumangalam Metro, Anna Nagar West, Anna Nagar, Chennai, Tamil Nadu 600040, India",13.0854821,80.2009823,1.298,278,0,0,f,,,,,59,,,,,,,,05-10-2025,05:42:40,05-10-2025
151,51,,PENDING,RIDE,"The Metrozone, Anna Nagar West, Anna Nagar West Extension, Chennai, Tamil Nadu 600040, India",13.0835208,80.1941622,"Aayakar Bhawan (Income Tax office), Chennai, 121, Nungambakkam High Rd, Thousand Lights West, Thousand Lights, Chennai, Tamil Nadu 600034, India",13.0571576,80.2489964,9.547,1658,0,0,f,,,,,213,,,,,,,,05-10-2025,05:43:26,05-10-2025
152,60,,PENDING,RIDE,"The Metrozone, Anna Nagar West, Anna Nagar West Extension, Chennai, Tamil Nadu 600040, India",13.0835228,80.1941904,"Loyola College, 24, 9, Nelson Manickam Rd, Nungambakkam, Chennai, Tamil Nadu 600034, India",13.0629294,80.2334959,7.426,1334,0,0,f,,,,,173,,,,,,,,05-10-2025,05:44:00,05-10-2025
153,62,,PENDING,RIDE,"44, Pillaiyar Koil St H Tower Metrozone, BLOCK-J, H1504, Thirumangalam, Anna Nagar West Extension, Chennai, Tamil Nadu 600040, India",13.0820612,80.1938313,"Thirumangalam Metro, Anna Nagar West, Anna Nagar, Chennai, Tamil Nadu 600040, India",13.0854821,80.2009823,1.561,400,0,0,f,,,,,59,,,,,,,,05-10-2025,05:52:21,05-10-2025
161,65,,PENDING,RIDE,"Metrozone D Tower, 35JV+89X, Anna Nagar West, Anna Nagar West Extension, Chennai, Tamil Nadu 600050, India",13.0808741,80.1934811,"M.O.P. Vaishnav College for Women, 20, IV Lane, Nungambakkam High Rd, Thousand Lights West, Thousand Lights, Chennai, Tamil Nadu 600034, India",13.0557886,80.250348,10.006,1739,0,0,f,,,,,178,,,,,,,,05-10-2025,07:46:17,05-10-2025
164,50,,PENDING,RIDE,"368W+H2F, College Rd, Subba Road Avenue, Nungambakkam, Chennai, Tamil Nadu 600006, India",13.06640678,80.24509853,"Express Avenue Mall, Express Avenue Mall, Whites Rd, Express Estate, Royapettah, Chennai, Tamil Nadu 600014, India",13.0583826,80.2641598,4.444,723,0,0,f,,,,,107,,,,,,,,05-10-2025,08:24:46,05-10-2025
167,67,17,CANCELLED,RIDE,"141, 2, Poonamallee High Rd, Koyambedu, Chennai, Tamil Nadu 600107, India",13.0754579,80.1962237,"Samco Restaurant Anna Nagar, door no :32, Periyar Nagar 5th St, A J Block, Block AJ, Anna Nagar, Chennai, Tamil Nadu 600040, India",13.0817933,80.2080065,2.713,386,0,0,f,,1,13.07663026,80.20007998,88,,,,,45935.37564,,,05-10-2025,09:08:04,05-10-2025
168,67,8,CANCELLED,RIDE,"141, 2, Poonamallee High Rd, Koyambedu, Chennai, Tamil Nadu 600107, India",13.0754447,80.1961036,"Samco Restaurant Anna Nagar, door no :32, Periyar Nagar 5th St, A J Block, Block AJ, Anna Nagar, Chennai, Tamil Nadu 600040, India",13.0817933,80.2080065,2.733,400,0,0,f,,1,13.07532995,80.21469265,88,,,,,45935.3808,,,05-10-2025,09:08:45,05-10-2025
169,67,8,CANCELLED,RIDE,"141, 2, Poonamallee High Rd, Koyambedu, Chennai, Tamil Nadu 600107, India",13.0754314,80.1961043,"Samco Restaurant Anna Nagar, door no :32, Periyar Nagar 5th St, A J Block, Block AJ, Anna Nagar, Chennai, Tamil Nadu 600040, India",13.0817933,80.2080065,2.732,400,0,0,f,,1,13.0759611,80.21331936,88,,,,,45935.38146,,,05-10-2025,09:09:47,05-10-2025
181,86,,PENDING,RIDE,"Sholinganallur, Sholinganallur, Chennai, Tamil Nadu, India",12.9009877,80.2279301,"Tambaram, Tambaram, Chennai, Tamil Nadu, India",12.9249308,80.1000026,23.883,3012,0,0,f,,1,,,483,,,,,,,,05-10-2025,15:13:33,05-10-2025
170,63,8,CANCELLED,RIDE,"Metro Zone, Tnhb N.v Nagar Quarters, 40, Jawaharlal Nehru Salai, Anna Nagar, Anna Nagar West, Anna Nagar, Chennai, Tamil Nadu 600040, India",13.0844867,80.1983271,"VR Chennai, Jawaharlal Nehru Salai, Thirumangalam, Anna Nagar, Chennai, Tamil Nadu 600040, India",13.0805465,80.197132,3.138,574,0,0,f,,2,13.06710732,80.20474166,89,,,,,45935.40223,,,05-10-2025,09:39:26,05-10-2025
354,159,17,CANCELLED,RIDE,"42, Pillaiyar Koil St, near Vr Mall, Thirumangalam, Chennai, Tamil Nadu 600040, India",13.0802682,80.1979859,"15th Main Road, 15th Main Rd, Saptagiri Colony, Anna Nagar, Chennai, Tamil Nadu 600040, India",13.0870663,80.1998677,1.006,212,0,0,f,,2,13.081502,80.19122332,49,,,,,45941.36864,,,11-10-2025,08:54:21,11-10-2025
172,68,,PENDING,RIDE,"SS Digital 387, Ti cycle road, Chennai - Tiruvallur High Rd, Vardharajapuram, Varadaraja Puram, Ambattur, Chennai, Tamil Nadu 600053, India",13.11348114,80.15015736,"Perungudi, Perungudi, Chennai, Tamil Nadu, India",12.9653652,80.2461057,28.541,4069,0,0,f,,,,,576,,,,,,,,05-10-2025,09:53:36,05-10-2025
171,41,17,COMPLETED,RIDE,"BLOCK-K, METROZONE TOWERS, Thirumangalam, Anna Nagar West Extension, Chennai, Tamil Nadu 600040, India",13.08269827,80.19394312,"The Cloud Story Restaurant, No. 955, 1st Floor, 106, Poonamallee High Rd, beside Akshaya palace, above Jeevan bakery, Amaravathi Nagar, Arumbakkam, Chennai, Tamil Nadu 600106, India",13.0771137,80.2097205,4.195,776,41,14,f,,1,13.07955026,80.19539684,107,825,0,45935.41161,45935.42148,45935.40647,16379,16420,05-10-2025,10:06:56,05-10-2025
177,50,,PENDING,RIDE,"3758+F4M, Express Avenue Exit, Express Estate, Royapettah, Chennai, Tamil Nadu 600014, India",13.05863265,80.26522346,"Taras Home, 37, G K Shetty Building, College Rd, Subba Road Avenue, Nungambakkam, Chennai, Tamil Nadu 600006, India",13.0666727,80.245062,4.753,820,0,0,f,,,,,107,,,,,,,,05-10-2025,12:42:05,05-10-2025
176,59,17,COMPLETED,RIDE,"P Tower 402, METROZONE TOWERS, near VR, Thirumangalam, Anna Nagar West Extension, Chennai, Tamil Nadu 600040, India",13.0828079,80.195029,"Thirumangalam Metro, Anna Nagar West, Anna Nagar, Chennai, Tamil Nadu 600040, India",13.0854821,80.2009823,1.294,277,13,6,f,,1,13.08357793,80.19465655,49,265,0,45935.52519,45935.52964,45935.52189,16503,16516,05-10-2025,12:42:41,05-10-2025
185,50,9,CANCELLED,RIDE,"38, College Rd, opposite Good Shepherd School, Subba Road Avenue, Nungambakkam, Chennai, Tamil Nadu 600006, India",13.06640895,80.24511779,"ST COURIER - ROYAPETTAH, GROUND FLOOR, Modern Tower, 23, Westcott Rd, Royapettah, Chennai, Tamil Nadu 600014, India",13.0540257,80.2643757,3.804,603,0,0,f,,,13.06539131,80.23436934,89,,,,,45936.21879,,,06-10-2025,05:18:02,06-10-2025
198,102,,PENDING,RIDE,"Pillaiyar Koil Street, METROZONE TOWERS, Pillaiyar Koil St, Thirumangalam, Anna Nagar West Extension, Chennai, Tamil Nadu 600040, India",13.0820816,80.1954134,"Sri Srinivasa Hospital | Gynecologist in Kodambakkam | Normal Delivery | VBAC Delivery | PCOS | PCOD | Infertility, 47, Railway Border Rd, Taylors colony, Kodambakkam, Chennai, Tamil Nadu 600024, India",13.0529495,80.2302818,8.228,1409,0,0,f,,,,,162,,,,,,,,06-10-2025,11:59:19,06-10-2025
199,50,,PENDING,RIDE,"Door No. 35/23, Third Floor, Modern Tower, Westcott Rd, Royapettah, Chennai, Tamil Nadu 600014, India",13.05387218,80.26448746,"CHENNAI SENIOR SECONDARY SCHOOL, Europe, 47/21, College Rd, Thousand Lights West, Thousand Lights, Chennai, Tamil Nadu 600006, India",13.0675501,80.2488258,4.165,604,0,0,f,,,,,107,,,,,,,,06-10-2025,12:30:11,06-10-2025
194,99,,PENDING,RIDE,"T. Nagar, T. Nagar, Chennai, Tamil Nadu, India",13.0417591,80.2340761,"Merina, 372J+6H8, Marina Beach Road, Marina Beach, Triplicane, Chennai, Tamil Nadu 600005, India",13.0507393,80.2812421,6.718,998,0,0,f,,,,,126,,,,,,,,06-10-2025,08:34:56,06-10-2025
200,103,,PENDING,RIDE,"The Metrozone, Anna Nagar West, Anna Nagar West Extension, Chennai, Tamil Nadu 600040, India",13.08346126,80.19422778,"Data Udipi Hotel, 51, Anna Main Rd, Ponnambalam Colony, MGR Nagar, Nesapakkam, Chennai, Tamil Nadu 600078, India",13.0367222,80.1977264,9.225,1551,0,0,f,,,,,173,,,,,,,,06-10-2025,14:37:53,06-10-2025
201,104,,PENDING,RIDE,"60 feet, 60 Feet Rd, K. K. Nagar, Chennai, Tamil Nadu 600078, India",13.0346083,80.2034569,"SS Hyderabad Biryani West Mambalam, NO: 17/35, Brindavan St, Gokulam Colony, Ramakrishnapuram, West Mambalam, Chennai, Tamil Nadu 600033, India",13.0418823,80.2258439,3.245,629,0,0,f,,,,,89,,,,,,,,06-10-2025,15:22:53,06-10-2025
203,106,,PENDING,RIDE,"391, Pugazhendhi Rd, Dudhiya, J J Nagar, Mogappair East, Chennai, Tamil Nadu 600037, India",13.0830508,80.1866347,"Arulmigu Vadapalani Murugan Temple, Palani Andavar Koil St, Vadapalani, Chennai, Tamil Nadu 600026, India",13.0530165,80.2137596,6.264,1124,0,0,f,,,,,126,,,,,,,,06-10-2025,17:02:16,06-10-2025
205,103,16,CANCELLED,RIDE,"No .176/27, Chennai flats, Padikuppam Main Rd, Tiruvalleeswarar Nagar, Anna Nagar West, Anna Nagar West Extension, Chennai, Tamil Nadu 600040, India",13.08384345,80.19381939,"Data Udipi Hotel, 51, Anna Main Rd, Ponnambalam Colony, MGR Nagar, Nesapakkam, Chennai, Tamil Nadu 600078, India",13.0367222,80.1977264,9.649,1574,0,0,f,,,13.07991019,80.19412011,173,,,,,45937.16846,,,07-10-2025,04:17:56,07-10-2025
206,50,18,CANCELLED,RIDE,"368W+H2F, College Rd, Subba Road Avenue, Nungambakkam, Chennai, Tamil Nadu 600006, India",13.06640579,80.2450912,"ST COURIER - ROYAPETTAH, GROUND FLOOR, Modern Tower, 23, Westcott Rd, Royapettah, Chennai, Tamil Nadu 600014, India",13.0540257,80.2643757,3.807,603,0,0,f,,,13.05763253,80.23679405,89,,,,,45937.21481,,,07-10-2025,09:58:21,07-10-2025
189,65,9,CANCELLED,RIDE,"Metrozone G Tower, 35JV+C8X, Metrozone Driveway, Anna Nagar West, Anna Nagar West Extension, Chennai, Tamil Nadu 600040, India",13.0811021,80.1933499,"M.O.P. Vaishnav College for Women, 20, IV Lane, Nungambakkam High Rd, Thousand Lights West, Thousand Lights, Chennai, Tamil Nadu 600034, India",13.0557886,80.250348,10.026,1744,0,0,f,,,13.07854144,80.19913584,178,,,,,45936.28564,,,06-10-2025,06:34:23,06-10-2025
207,94,16,CANCELLED,RIDE,"Metrozone P tower, Metrozone P tower, 44, Pillaiyar Koil St, Thirumangalam, Anna Nagar West Extension, Chennai, Tamil Nadu 600040, India",13.0834285,80.1950431,"Saravana Store, 2, S Park Rd, Padi, Chennai, Tamil Nadu 600050, India",13.1002886,80.1903724,3.227,517,0,0,f,1,,13.07987978,80.19411474,89,,,,,45937.2378,,,07-10-2025,05:47:53,07-10-2025
219,115,,PENDING,RIDE,"DLF IT SEZ Park Main Entrance, DLF IT SEZ Park Main Entrance, Ramapuram, Chennai, Tamil Nadu 600089, India",13.0243823,80.1772356,"PVK Pride Apartment, Plot 10, &11, Padmavathi Nagar, Kamatchiamman Nagar, Mangadu, Chennai, Tamil Nadu 600122, India",13.0347955,80.1147255,8.617,1362,0,0,f,,,,,162,,,,,,,,07-10-2025,09:28:34,07-10-2025
220,115,,PENDING,RIDE,"PVK Pride Apartment, Plot 10, &11, Padmavathi Nagar, Kamatchiamman Nagar, Mangadu, Chennai, Tamil Nadu 600122, India",13.0347955,80.1147255,"ShivaOhm Apartments, 353C+W54, Janaki Nagar, Maduravoyal, Chennai, Tamil Nadu 600095, India",13.0547565,80.1704502,9.441,1544,0,0,f,,,,,173,,,,,,,,07-10-2025,09:29:06,07-10-2025
211,65,9,COMPLETED,RIDE,"BLOCK-G, METROZONE TOWERS, Metrozone Driveway, Thirumangalam, Anna Nagar West Extension, Chennai, Tamil Nadu 600040, India",13.08150263,80.194331,"M.O.P. Vaishnav College for Women, 20, IV Lane, Nungambakkam High Rd, Thousand Lights West, Thousand Lights, Chennai, Tamil Nadu 600034, India",13.0557886,80.250348,10.05,1792,10,42,f,,1,13.06904384,80.21051377,178,173,0,45937.29442,45937.32411,45937.28246,3329,3339,07-10-2025,07:46:43,07-10-2025
227,118,,PENDING,RIDE,"X63V+XGG, Industrial Estate, Perungudi, Chennai, Tamil Nadu 600096, India",12.9549187,80.2438696,"Brigade World Trade Center Chennai, Brigade World Trade Center Sales office, 5 142, Rajiv Gandhi Salai, Tirumalai Nagar, Perungudi, Chennai, Tamil Nadu 600096, India",12.961793,80.2447247,2.139,373,0,0,f,,,,,88,,,,,,,,07-10-2025,11:16:08,07-10-2025
223,65,,PENDING,RIDE,"Russia Visa Centre, ISPAHANI Center No 123, 1st Floor, 124, Nungambakkam High Rd, Thousand Lights West, Thousand Lights, Chennai, Tamil Nadu 600034, India",13.05509751,80.24984425,"Metrozone G Tower, 35JV+C8X, Metrozone Driveway, Anna Nagar West, Anna Nagar West Extension, Chennai, Tamil Nadu 600040, India",13.0811021,80.1933499,8.945,1526,0,0,f,,,,,162,,,,,,,,07-10-2025,09:34:12,07-10-2025
230,30,,PENDING,RIDE,"50, Mc Nichols Road 3rd Ln, Chetpet, Chennai, Tamil Nadu 600031, India",13.0713317,80.2412249,"Mogappair, Mogappair, Chennai, Tamil Nadu, India",13.0837224,80.1749627,9.749,1548,0,0,f,,,,,173,,,,,,,,07-10-2025,13:13:29,07-10-2025
226,104,,PENDING,RIDE,"26M5+768 ESIC MEDICAL COLLEGE &amp; PGIMSR, K. K. Nagar, Chennai, Tamil Nadu 600078, India",13.032987,80.2075499,"Third Wave Coffee, No: 41A, 41B, Zone 3B Uptown@kathipara, Urban Square, 42A & 42B, Ramapuram, Guindy Industrial Estate, Kathipara, Guindy, St.Thomas Mount, Chennai, Tamil Nadu 600016, India",13.0079074,80.2040605,4.54,778,0,0,f,,,,,107,,,,,,,,07-10-2025,10:53:38,07-10-2025
269,138,,PENDING,RIDE,Unknown Location,0,0,"Central Railway Station, Periamet, Jutkapuram, Park Town, Chennai, Tamil Nadu 600003, India",13.083397,80.276202,0,0,0,0,f,,,,,39,,,,,,,,09-10-2025,01:11:47,09-10-2025
