id,customerId,driverId,rideStatus,rideType,pickupPoint,pickupLat,pickupLong,dropPoint,dropLat,dropLong,initialDistance,initialDuration,finalDistance,finalDuration,payWithNuraCoins,appliedVoucherId,appliedCouponId,rideAssignedLat,rideAssignedLong,initialFare,finalFare,payableAmount,rideStartTime,rideEndTime,rideAssignedTime,initialOdometer,finalOdometer,createdAt,updatedAt,date,time_est,hour,source,dd,dd1,dd2,dd3,dd4,dd5
14,5,,PENDING,RIDE,"VR mall stop, 35HX+QC4, Grand Northern Trunk Rd, Thirumangalam, Koyambedu, Chennai, Tamil Nadu 600050, India",13.0793905,80.1985753,"Anna Nagar, Anna Nagar, Chennai, Tamil Nadu, India",13.0849557,80.2101342,2.066,447,0,0,f,,,,,89,,,,,,,,45928.36376,45928.36378,45928,08:43:49,14,test,,,,,,
15,2,,PENDING,RIDE,"VR mall stop, 35HX+QC4, Grand Northern Trunk Rd, Thirumangalam, Koyambedu, Chennai, Tamil Nadu 600050, India",13.0793905,80.1985753,"CMBT Bus Stand, 3684+Q68, Chennai - Theni Hwy, Koyambedu, Chennai, Tamil Nadu 600107, India",13.0669036,80.2055654,4.416,805,0,0,f,,,,,125,,,,,,,,45928.40685,45928.40732,45928,09:45:52,15,test,,,,,,
16,2,,PENDING,RIDE,"VR mall stop, 35HX+QC4, Grand Northern Trunk Rd, Thirumangalam, Koyambedu, Chennai, Tamil Nadu 600050, India",13.0793905,80.1985753,"CMBT Bus Stand, 3684+Q68, Chennai - Theni Hwy, Koyambedu, Chennai, Tamil Nadu 600107, India",13.0669036,80.2055654,4.416,805,0,0,f,,,,,125,,,,,,,,45928.40766,45928.40769,45928,09:47:02,15,test,,,,,,
17,2,,PENDING,RIDE,"VR mall stop, 35HX+QC4, Grand Northern Trunk Rd, Thirumangalam, Koyambedu, Chennai, Tamil Nadu 600050, India",13.0793905,80.1985753,"Koyambedu CMBT Bus Stand, Koyambedu, Chennai, Tamil Nadu 600107, India",13.0686902,80.2051416,4.097,660,0,0,f,,1,,,125,,,,,,,,45928.40884,45928.40908,45928,09:48:44,15,test,,,,,,
19,2,,PENDING,RIDE,"2588+9WJ, Ramapuram, Arumugam Nagar, Periya Palayatamman Nagar, Manapakkam, Chennai, Tamil Nadu 600125, India",13.01577809,80.16768343,"35HX+QC4, Grand Northern Trunk Rd, Thirumangalam, Koyambedu, Chennai, Tamil Nadu 600050, India",13.0793905,80.1985753,12.979,1858,0,0,f,1,,,,265,,,,,,,,45928.44644,45928.44646,45928,10:42:52,16,test,,,,,,
18,2,,PENDING,RIDE,"VR mall stop, 35HX+QC4, Grand Northern Trunk Rd, Thirumangalam, Koyambedu, Chennai, Tamil Nadu 600050, India",13.0793905,80.1985753,"CMBT Bus Stand, 3684+Q68, Chennai - Theni Hwy, Koyambedu, Chennai, Tamil Nadu 600107, India",13.0669036,80.2055654,4.416,805,0,0,f,1,,,,125,,,,,,,,45928.41156,45928.41159,45928,09:52:39,15,test,,,,,,
20,2,5,CANCELLED,RIDE,"Zaitoon Restaurant, Anna Nagar, Chintamani, D Block, 119, 1st Main Rd, D Block, Annanagar East, Chennai, Tamil Nadu 600102, India",13.0835647,80.225519,"CMBT Bus Stand, 3684+Q68, Chennai - Theni Hwy, Koyambedu, Chennai, Tamil Nadu 600107, India",13.0669036,80.2055654,6.225,1083,0,0,f,1,,13.07662012,80.2384463,184,,,,,45928.62057,,,45928.62054,45928.62083,45928,14:53:35,20,test,,,,,,
21,2,5,CANCELLED,RIDE,"Zaitoon Restaurant, Anna Nagar, Chintamani, D Block, 119, 1st Main Rd, D Block, Annanagar East, Chennai, Tamil Nadu 600102, India",13.0835647,80.225519,"CMBT Bus Stand, 3684+Q68, Chennai - Theni Hwy, Koyambedu, Chennai, Tamil Nadu 600107, India",13.0669036,80.2055654,6.225,1083,0,0,f,1,,13.07376603,80.22643,184,,,,,45928.62393,,,45928.62383,45928.62403,45928,14:58:19,20,test,,,,,,
22,7,,PENDING,RIDE,"Vakeel Kapil, 6-33, Sriram Nagar N St, Cooperative Colony, Sri Ram Nagar, Alwarpet, Chennai, Tamil Nadu 600018, India",13.0317263,80.2510476,"H&B Partners, Capitale 9th Floor Door. no. 555, Capitale, 9th Floor Door, 555, Anna Salai, Teynampet, Chennai, Tamil Nadu 600018, India",13.0434685,80.2473791,3.906,715,0,0,f,,,,,99,,,,,,,,45928.72079,45928.72079,45928,17:17:56,22,test,,,,,,
304,151,17,CANCELLED,RIDE,"Anna Nagar, Anna Nagar, Chennai, Tamil Nadu, India",13.0849557,80.2101342,"Nungambakkam, Nungambakkam, Chennai, Tamil Nadu, India",13.0569467,80.242469,7.22,1226,0,0,f,,,13.08151974,80.2166453,145,,,,,45940.36467,,,45940.36464,45940.36477,45940,08:45:05,14,real,,,,,,
23,8,,PENDING,RIDE,"68/36, Kamaraj Ave 1st St, Rukmani Nagar, Adyar, Chennai, Tamil Nadu 600020, India",13.00225323,80.2491622,"Updater Services Limited (UDS Office), 42, Gandhi Mandapam Rd, Chitra Nagar, Kotturpuram, Chennai, Tamil Nadu 600085, India",13.020161,80.241487,4.788,751,0,0,f,,,,,125,,,,,,,,45929.12588,45929.12598,45929,03:01:16,8,test,,,,,,
24,9,,PENDING,RIDE,"Bsr Mall, Bsr Mall, Seevaram, Thoraipakkam, Chennai, Tamil Nadu 600097, India",12.9496024,80.2404088,"Rapid Acceleration Partners, 2nd Floor, Greeta Tech Park Phase-1, North Wing #96, VSI Functional, Industrial Estate, Perungudi, Chennai, Tamil Nadu 600096, India",12.9558104,80.2479207,1.963,379,0,0,f,,,,,59,,,,,,,,45929.19008,45929.19013,45929,04:33:43,10,test,,,,,,
25,8,6,CANCELLED,RIDE,"Suxus Men's and Women's Wear, 5, Jawaharlal Nehru Salai, Old Tirumangalam, Anna Nagar, Chennai, Tamil Nadu 600040, India",13.0788768,80.1989582,"Hotel Simsan, 36G2+PGX Near, 85, Poonamallee High Rd, West, Pallavan Nagar, Koyambedu, Chennai, Tamil Nadu 600107, India",13.076688,80.2013111,0.497,67,0,0,t,,,13.07838176,80.19932359,39,,,,,45929.2169,,,45929.21683,45929.21709,45929,05:12:14,10,test,,,,,,
26,8,6,CANCELLED,RIDE,"Suxus Men's and Women's Wear, 5, Jawaharlal Nehru Salai, Old Tirumangalam, Anna Nagar, Chennai, Tamil Nadu 600040, India",13.0788768,80.1989582,"Hotel Simsan, 36G2+PGX Near, 85, Poonamallee High Rd, West, Pallavan Nagar, Koyambedu, Chennai, Tamil Nadu 600107, India",13.076688,80.2013111,0.497,67,0,0,t,,,13.07838176,80.19932359,39,,,,,45929.21846,,,45929.21835,45929.21861,45929,05:14:26,10,test,,,,,,
27,8,6,CANCELLED,RIDE,"Suxus Men's and Women's Wear, 5, Jawaharlal Nehru Salai, Old Tirumangalam, Anna Nagar, Chennai, Tamil Nadu 600040, India",13.0788768,80.1989582,"Hotel Simsan, 36G2+PGX Near, 85, Poonamallee High Rd, West, Pallavan Nagar, Koyambedu, Chennai, Tamil Nadu 600107, India",13.076688,80.2013111,0.497,67,0,0,f,,,13.07838176,80.19932359,39,,,,,45929.21911,,,45929.21909,45929.21924,45929,05:15:30,10,test,,,,,,
29,8,6,CANCELLED,RIDE,"Suxus Men's and Women's Wear, 5, Jawaharlal Nehru Salai, Old Tirumangalam, Anna Nagar, Chennai, Tamil Nadu 600040, India",13.0788768,80.1989582,"Hotel Simsan, 36G2+PGX Near, 85, Poonamallee High Rd, West, Pallavan Nagar, Koyambedu, Chennai, Tamil Nadu 600107, India",13.076688,80.2013111,0.497,67,0,0,t,,,13.07838176,80.19932359,39,,,,,45929.22073,,,45929.22067,45929.22103,45929,05:17:46,10,test,,,,,,
28,8,6,CANCELLED,RIDE,"Suxus Men's and Women's Wear, 5, Jawaharlal Nehru Salai, Old Tirumangalam, Anna Nagar, Chennai, Tamil Nadu 600040, India",13.0788768,80.1989582,"Hotel Simsan, 36G2+PGX Near, 85, Poonamallee High Rd, West, Pallavan Nagar, Koyambedu, Chennai, Tamil Nadu 600107, India",13.076688,80.2013111,0.497,67,0,0,t,,,13.07838176,80.19932359,39,,,,,45929.21984,,,45929.21979,45929.22011,45929,05:16:30,10,test,,,,,,
30,11,6,CANCELLED,RIDE,"VR mall stop, 35HX+QC4, Grand Northern Trunk Rd, Thirumangalam, Koyambedu, Chennai, Tamil Nadu 600050, India",13.0793905,80.1985753,"CMBT Bus Stand, 3684+Q68, Chennai - Theni Hwy, Koyambedu, Chennai, Tamil Nadu 600107, India",13.0669036,80.2055654,4.416,805,0,0,f,,,13.07849582,80.19930214,125,,,,,45929.25834,,,45929.25827,45929.2585,45929,06:11:55,11,test,,,,,,
31,2,,PENDING,RIDE,"VR mall stop, 35HX+QC4, Grand Northern Trunk Rd, Thirumangalam, Koyambedu, Chennai, Tamil Nadu 600050, India",13.0793905,80.1985753,"CMBT Bus Stand, 3684+Q68, Chennai - Theni Hwy, Koyambedu, Chennai, Tamil Nadu 600107, India",13.0669036,80.2055654,4.416,805,0,0,f,,,,,125,,,,,,,,45929.26747,45929.26747,45929,06:25:10,11,test,,,,,,
32,13,,PENDING,RIDE,"5-1, Janakiraman Colony, Virugambakkam, Chennai, Tamil Nadu 600107, India",13.0756911,80.2005577,"Arulmigu Vadapalani Murugan Temple, Palani Andavar Koil St, Vadapalani, Chennai, Tamil Nadu 600026, India",13.0530165,80.2137596,3.51,678,0,0,f,,,,,99,,,,,,,,45929.26842,45929.26842,45929,06:26:32,11,test,,,,,,
34,14,7,CANCELLED,RIDE,"Suxus Men's and Women's Wear, 5, Jawaharlal Nehru Salai, Old Tirumangalam, Anna Nagar, Chennai, Tamil Nadu 600040, India",13.0788768,80.1989582,"Hotel Simsan, 36G2+PGX Near, 85, Poonamallee High Rd, West, Pallavan Nagar, Koyambedu, Chennai, Tamil Nadu 600107, India",13.076688,80.2013111,0.497,67,0,0,f,,,13.07859974,80.19917876,39,,,,,45929.27145,,,45929.27124,45929.27172,45929,06:30:35,12,test,,,,,,
35,11,6,CANCELLED,RIDE,"VR mall stop, 35HX+QC4, Grand Northern Trunk Rd, Thirumangalam, Koyambedu, Chennai, Tamil Nadu 600050, India",13.0793905,80.1985753,"CMBT Bus Stand, 3684+Q68, Chennai - Theni Hwy, Koyambedu, Chennai, Tamil Nadu 600107, India",13.0669036,80.2055654,4.416,805,0,0,f,,,13.07856426,80.19932359,125,,,,,45929.2924,,,45929.29234,45929.29278,45929,07:00:58,12,test,,,,,,
33,13,7,CANCELLED,RIDE,"VR mall stop, 35HX+QC4, Grand Northern Trunk Rd, Thirumangalam, Koyambedu, Chennai, Tamil Nadu 600050, India",13.0793905,80.1985753,"CMBT Bus Stand, 3684+Q68, Chennai - Theni Hwy, Koyambedu, Chennai, Tamil Nadu 600107, India",13.0669036,80.2055654,4.416,805,0,0,f,,,13.07854905,80.19916266,125,,,,,45929.2924,,,45929.27028,45929.29347,45929,06:29:13,11,test,,,,,,
39,16,,PENDING,RIDE,"VR mall stop, 35HX+QC4, Grand Northern Trunk Rd, Thirumangalam, Koyambedu, Chennai, Tamil Nadu 600050, India",13.0793905,80.1985753,"CMBT Bus Stand, 3684+Q68, Chennai - Theni Hwy, Koyambedu, Chennai, Tamil Nadu 600107, India",13.0669036,80.2055654,4.416,805,0,0,f,,,,,125,,,,,,,,45929.29812,45929.29814,45929,07:09:17,12,test,,,,,,
38,16,,PENDING,RIDE,"VR mall stop, 35HX+QC4, Grand Northern Trunk Rd, Thirumangalam, Koyambedu, Chennai, Tamil Nadu 600050, India",13.0793905,80.1985753,"CMBT Bus Stand, 3684+Q68, Chennai - Theni Hwy, Koyambedu, Chennai, Tamil Nadu 600107, India",13.0669036,80.2055654,4.416,805,0,0,f,,,,,125,,,,,,,,45929.29739,45929.29751,45929,07:08:15,12,test,,,,,,
37,11,6,CANCELLED,RIDE,"VR mall stop, 35HX+QC4, Grand Northern Trunk Rd, Thirumangalam, Koyambedu, Chennai, Tamil Nadu 600050, India",13.0793905,80.1985753,"CMBT Bus Stand, 3684+Q68, Chennai - Theni Hwy, Koyambedu, Chennai, Tamil Nadu 600107, India",13.0669036,80.2055654,4.416,805,0,0,f,,,13.07856426,80.19932359,125,,,,,45929.29746,,,45929.29727,45929.30077,45929,07:08:04,12,test,,,,,,
36,13,7,CANCELLED,RIDE,"VR mall stop, 35HX+QC4, Grand Northern Trunk Rd, Thirumangalam, Koyambedu, Chennai, Tamil Nadu 600050, India",13.0793905,80.1985753,"CMBT Bus Stand, 3684+Q68, Chennai - Theni Hwy, Koyambedu, Chennai, Tamil Nadu 600107, India",13.0669036,80.2055654,4.416,805,0,0,f,,,13.07853637,80.19911975,125,,,,,45929.29746,,,45929.29726,45929.30255,45929,07:08:04,12,test,,,,,,
42,13,,PENDING,RIDE,"VR mall stop, 35HX+QC4, Grand Northern Trunk Rd, Thirumangalam, Koyambedu, Chennai, Tamil Nadu 600050, India",13.0793905,80.1985753,"CMBT Bus Stand, 3684+Q68, Chennai - Theni Hwy, Koyambedu, Chennai, Tamil Nadu 600107, India",13.0669036,80.2055654,4.416,805,0,0,f,,,,,125,,,,,,,,45929.30338,45929.30352,45929,07:16:52,12,test,,,,,,
41,2,,PENDING,RIDE,"VR mall stop, 35HX+QC4, Grand Northern Trunk Rd, Thirumangalam, Koyambedu, Chennai, Tamil Nadu 600050, India",13.0793905,80.1985753,"CMBT Bus Stand, 3684+Q68, Chennai - Theni Hwy, Koyambedu, Chennai, Tamil Nadu 600107, India",13.0669036,80.2055654,4.416,805,0,0,f,1,,,,125,,,,,,,,45929.30337,45929.30351,45929,07:16:51,12,test,,,,,,
40,16,6,CANCELLED,RIDE,"VR mall stop, 35HX+QC4, Grand Northern Trunk Rd, Thirumangalam, Koyambedu, Chennai, Tamil Nadu 600050, India",13.0793905,80.1985753,"CMBT Bus Stand, 3684+Q68, Chennai - Theni Hwy, Koyambedu, Chennai, Tamil Nadu 600107, India",13.0669036,80.2055654,4.416,805,0,0,f,,,13.07851103,80.19930214,125,,,,,45929.3035,,,45929.30336,45929.30637,45929,07:16:51,12,test,,,,,,
43,11,7,CANCELLED,RIDE,"VR mall stop, 35HX+QC4, Grand Northern Trunk Rd, Thirumangalam, Koyambedu, Chennai, Tamil Nadu 600050, India",13.0793905,80.1985753,"CMBT Bus Stand, 3684+Q68, Chennai - Theni Hwy, Koyambedu, Chennai, Tamil Nadu 600107, India",13.0669036,80.2055654,4.416,805,0,0,f,,,13.07853637,80.19911975,125,,,,,45929.3035,,,45929.30339,45929.30519,45929,07:16:53,12,test,,,,,,
44,14,7,CANCELLED,RIDE,"Suxus Men's and Women's Wear, 5, Jawaharlal Nehru Salai, Old Tirumangalam, Anna Nagar, Chennai, Tamil Nadu 600040, India",13.0788768,80.1989582,"Hotel Simsan, 36G2+PGX Near, 85, Poonamallee High Rd, West, Pallavan Nagar, Koyambedu, Chennai, Tamil Nadu 600107, India",13.076688,80.2013111,0.497,67,0,0,f,,,13.07853637,80.19911975,39,,,,,45929.30676,,,45929.30671,45929.3069,45929,07:21:40,12,test,,,,,,
87,8,,PENDING,RIDE,"Thirumangalam EB Office, Old Tirumangalam, Anna Nagar, Chennai, Tamil Nadu 600040, India",13.0786099,80.19897223,"Thirumangalam EB Office, Old Tirumangalam, Anna Nagar, Chennai, Tamil Nadu 600040, India",13.07866575,80.19904699,3.373,550,0,0,f,,,,,99,,,,,,,,45930.24144,45930.24144,45930,05:47:40,11,test,,,,,,
45,14,7,CANCELLED,RIDE,"Suxus Men's and Women's Wear, 5, Jawaharlal Nehru Salai, Old Tirumangalam, Anna Nagar, Chennai, Tamil Nadu 600040, India",13.0788768,80.1989582,"Hotel Simsan, 36G2+PGX Near, 85, Poonamallee High Rd, West, Pallavan Nagar, Koyambedu, Chennai, Tamil Nadu 600107, India",13.076688,80.2013111,0.497,67,0,0,f,,,13.07853637,80.19911975,39,,,,,45929.30757,,,45929.30749,45929.30765,45929,07:22:47,12,test,,,,,,
46,2,,PENDING,RIDE,"Arulmigu Vadapalani Murugan Temple, Palani Andavar Koil St, Vadapalani, Chennai, Tamil Nadu 600026, India",13.0530165,80.2137596,"CMBT Bus Stand, 3684+Q68, Chennai - Theni Hwy, Koyambedu, Chennai, Tamil Nadu 600107, India",13.0669036,80.2055654,4.724,915,0,0,f,1,,,,125,,,,,,,,45929.31124,45929.31139,45929,07:28:11,12,test,,,,,,
48,13,7,CANCELLED,RIDE,"VR mall stop, 35HX+QC4, Grand Northern Trunk Rd, Thirumangalam, Koyambedu, Chennai, Tamil Nadu 600050, India",13.0793905,80.1985753,"CMBT Bus Stand, 3684+Q68, Chennai - Theni Hwy, Koyambedu, Chennai, Tamil Nadu 600107, India",13.0669036,80.2055654,4.416,805,0,0,f,,,13.07853637,80.19911975,125,,,,,45929.31138,,,45929.31125,45929.31186,45929,07:28:12,12,test,,,,,,
47,11,5,CANCELLED,RIDE,"Arulmigu Vadapalani Murugan Temple, Palani Andavar Koil St, Vadapalani, Chennai, Tamil Nadu 600026, India",13.0530165,80.2137596,"CMBT Bus Stand, 3684+Q68, Chennai - Theni Hwy, Koyambedu, Chennai, Tamil Nadu 600107, India",13.0669036,80.2055654,4.724,915,0,0,f,,,13.04346851,80.23535103,125,,,,,45929.31138,,,45929.31125,45929.31187,45929,07:28:12,12,test,,,,,,
49,16,6,CANCELLED,RIDE,"VR mall stop, 35HX+QC4, Grand Northern Trunk Rd, Thirumangalam, Koyambedu, Chennai, Tamil Nadu 600050, India",13.0793905,80.1985753,"CMBT Bus Stand, 3684+Q68, Chennai - Theni Hwy, Koyambedu, Chennai, Tamil Nadu 600107, India",13.0669036,80.2055654,4.416,805,0,0,f,,,13.07849835,80.19929141,125,,,,,45929.31139,,,45929.31129,45929.31193,45929,07:28:15,12,test,,,,,,
50,8,5,CANCELLED,RIDE,"T. Nagar, T. Nagar, Chennai, Tamil Nadu, India",13.0417591,80.2340761,"Updater Services Limited (UDS Office), 42, Gandhi Mandapam Rd, Chitra Nagar, Kotturpuram, Chennai, Tamil Nadu 600085, India",13.020161,80.241487,5.148,834,0,0,f,,,13.04880663,80.23313552,152,,,,,45929.31929,,,45929.31926,45929.31937,45929,07:39:44,13,test,,,,,,
52,8,7,CANCELLED,RIDE,"VR Chennai, Jawaharlal Nehru Salai, Thirumangalam, Anna Nagar, Chennai, Tamil Nadu 600040, India",13.0805465,80.197132,"Hotel Simsan, 36G2+PGX Near, 85, Poonamallee High Rd, West, Pallavan Nagar, Koyambedu, Chennai, Tamil Nadu 600107, India",13.076688,80.2013111,2.341,441,0,0,f,,,13.07853637,80.19911975,89,,,,,45929.32687,,,45929.32684,45929.32691,45929,07:50:39,13,test,,,,,,
51,8,5,CANCELLED,RIDE,"no 17, 45, Gandhi Mandapam Rd, no 17, 45, Gandhi Mandapam Rd, Chitra Nagar, Kotturpuram, Chennai, Tamil Nadu 600085, India",13.0206691,80.2416667,"T. Nagar, T. Nagar, Chennai, Tamil Nadu, India",13.0417591,80.2340761,4.685,747,0,0,f,,,13.05073555,80.2337417,125,,,,,45929.32633,,,45929.32621,45929.32638,45929,07:49:44,13,test,,,,,,
54,8,7,CANCELLED,RIDE,"VR mall stop, 35HX+QC4, Grand Northern Trunk Rd, Thirumangalam, Koyambedu, Chennai, Tamil Nadu 600050, India",13.0793905,80.1985753,"Hotel Simsan, 36G2+PGX Near, 85, Poonamallee High Rd, West, Pallavan Nagar, Koyambedu, Chennai, Tamil Nadu 600107, India",13.076688,80.2013111,2.285,398,0,0,f,,,13.07853637,80.19911975,89,,,,,45929.32762,,,45929.3276,45929.32775,45929,07:51:44,13,test,,,,,,
53,8,5,CANCELLED,RIDE,"Amm School, 15/42, Gandhi Mandapam Rd, Opposite to, Chitra Nagar, Kotturpuram, Chennai, Tamil Nadu 600085, India",13.02008543,80.2414771,"Hotel Simsan, 36G2+PGX Near, 85, Poonamallee High Rd, West, Pallavan Nagar, Koyambedu, Chennai, Tamil Nadu 600107, India",13.076688,80.2013111,13.161,2021,0,0,f,,,13.05077611,80.23378998,269,,,,,45929.32722,,,45929.3272,45929.32725,45929,07:51:10,13,test,,,,,,
57,8,6,CANCELLED,RIDE,"Suxus Men's and Women's Wear, 5, Jawaharlal Nehru Salai, Old Tirumangalam, Anna Nagar, Chennai, Tamil Nadu 600040, India",13.0788768,80.1989582,"Hotel Simsan, 36G2+PGX Near, 85, Poonamallee High Rd, West, Pallavan Nagar, Koyambedu, Chennai, Tamil Nadu 600107, India",13.076688,80.2013111,0.497,67,0,0,f,,,13.0785313,80.19928604,39,,,,,45929.33083,,,45929.33081,45929.33094,45929,07:56:22,13,test,,,,,,
55,8,7,CANCELLED,RIDE,"Suxus Men's and Women's Wear, 5, Jawaharlal Nehru Salai, Old Tirumangalam, Anna Nagar, Chennai, Tamil Nadu 600040, India",13.0788768,80.1989582,"Hotel Simsan, 36G2+PGX Near, 85, Poonamallee High Rd, West, Pallavan Nagar, Koyambedu, Chennai, Tamil Nadu 600107, India",13.076688,80.2013111,0.497,67,0,0,f,,,13.07853637,80.19911975,39,,,,,45929.32917,,,45929.32915,45929.3292,45929,07:53:59,13,test,,,,,,
56,10,7,CANCELLED,RIDE,"Suxus Men's and Women's Wear, 5, Jawaharlal Nehru Salai, Old Tirumangalam, Anna Nagar, Chennai, Tamil Nadu 600040, India",13.0788768,80.1989582,"Hotel Simsan, 36G2+PGX Near, 85, Poonamallee High Rd, West, Pallavan Nagar, Koyambedu, Chennai, Tamil Nadu 600107, India",13.076688,80.2013111,0.497,67,0,0,f,,,13.07852877,80.19915193,39,,,,,45929.33052,,,45929.33049,45929.33197,45929,07:55:54,13,test,,,,,,
59,8,6,CANCELLED,RIDE,"Suxus Men's and Women's Wear, 5, Jawaharlal Nehru Salai, Old Tirumangalam, Anna Nagar, Chennai, Tamil Nadu 600040, India",13.0788768,80.1989582,"Suxus Men's and Women's Wear, 5, Jawaharlal Nehru Salai, Old Tirumangalam, Anna Nagar, Chennai, Tamil Nadu 600040, India",13.0788768,80.1989582,0,0,0,0,f,,,13.07869353,80.19910365,39,,,,,45929.34725,,,45929.34723,45929.34748,45929,08:20:01,13,test,,,,,,
